,country,date,accumulated_recovered,increase_of_recovered
153,Antigua and Barbuda,2020-03-19,0,0.0
154,Antigua and Barbuda,2020-03-20,0,0.0
155,Antigua and Barbuda,2020-03-21,0,0.0
156,Antigua and Barbuda,2020-03-22,0,0.0
157,Antigua and Barbuda,2020-03-23,0,0.0
158,Antigua and Barbuda,2020-03-24,0,0.0
159,Antigua and Barbuda,2020-03-25,0,0.0
160,Antigua and Barbuda,2020-03-26,0,0.0
161,Antigua and Barbuda,2020-03-27,0,0.0
162,Argentina,2020-03-01,0,0.0
163,Argentina,2020-03-02,0,0.0
164,Argentina,2020-03-03,0,0.0
165,Argentina,2020-03-04,0,0.0
166,Argentina,2020-03-05,0,0.0
167,Argentina,2020-03-06,0,0.0
168,Argentina,2020-03-07,0,0.0
169,Argentina,2020-03-08,0,0.0
170,Argentina,2020-03-09,0,0.0
171,Argentina,2020-03-10,0,0.0
172,Argentina,2020-03-11,0,0.0
173,Argentina,2020-03-12,0,0.0
174,Argentina,2020-03-13,0,0.0
175,Argentina,2020-03-14,1,1.0
176,Argentina,2020-03-15,1,0.0
177,Argentina,2020-03-16,1,0.0
178,Argentina,2020-03-17,3,2.0
179,Argentina,2020-03-18,3,0.0
180,Argentina,2020-03-19,3,0.0
181,Argentina,2020-03-20,3,0.0
182,Argentina,2020-03-21,3,0.0
183,Argentina,2020-03-22,3,0.0
184,Argentina,2020-03-23,3,0.0
185,Argentina,2020-03-24,52,49.0
186,Argentina,2020-03-25,52,0.0
187,Argentina,2020-03-26,63,11.0
188,Argentina,2020-03-27,72,9.0
189,Armenia,2020-03-01,0,0.0
190,Armenia,2020-03-02,0,0.0
191,Armenia,2020-03-03,0,0.0
192,Armenia,2020-03-04,0,0.0
193,Armenia,2020-03-05,0,0.0
194,Armenia,2020-03-06,0,0.0
195,Armenia,2020-03-07,0,0.0
196,Armenia,2020-03-08,0,0.0
197,Armenia,2020-03-09,0,0.0
198,Armenia,2020-03-10,0,0.0
199,Armenia,2020-03-11,0,0.0
200,Armenia,2020-03-12,0,0.0
201,Armenia,2020-03-13,0,0.0
202,Armenia,2020-03-14,0,0.0
203,Armenia,2020-03-15,0,0.0
204,Armenia,2020-03-16,0,0.0
205,Armenia,2020-03-17,1,1.0
206,Armenia,2020-03-18,1,0.0
207,Armenia,2020-03-19,1,0.0
208,Armenia,2020-03-20,1,0.0
209,Armenia,2020-03-21,1,0.0
210,Armenia,2020-03-22,2,1.0
211,Armenia,2020-03-23,2,0.0
212,Armenia,2020-03-24,14,12.0
213,Armenia,2020-03-25,16,2.0
214,Armenia,2020-03-26,18,2.0
215,Armenia,2020-03-27,28,10.0
216,Australia,2020-03-01,11,0.0
217,Australia,2020-03-02,11,0.0
218,Australia,2020-03-03,11,0.0
219,Australia,2020-03-04,11,0.0
220,Australia,2020-03-05,21,10.0
221,Australia,2020-03-06,21,0.0
222,Australia,2020-03-07,21,0.0
223,Australia,2020-03-08,21,0.0
224,Australia,2020-03-09,21,0.0
225,Australia,2020-03-10,21,0.0
226,Australia,2020-03-11,21,0.0
227,Australia,2020-03-12,21,0.0
228,Australia,2020-03-13,23,2.0
229,Australia,2020-03-14,23,0.0
230,Australia,2020-03-15,23,0.0
231,Australia,2020-03-16,23,0.0
232,Australia,2020-03-17,23,0.0
233,Australia,2020-03-18,23,0.0
234,Australia,2020-03-19,26,3.0
235,Australia,2020-03-20,26,0.0
236,Australia,2020-03-21,26,0.0
237,Australia,2020-03-22,88,62.0
238,Australia,2020-03-23,88,0.0
239,Australia,2020-03-24,115,27.0
240,Australia,2020-03-25,119,4.0
241,Australia,2020-03-26,172,53.0
242,Australia,2020-03-27,194,22.0
243,Austria,2020-03-01,0,0.0
244,Austria,2020-03-02,0,0.0
245,Austria,2020-03-03,0,0.0
246,Austria,2020-03-04,0,0.0
247,Austria,2020-03-05,0,0.0
248,Austria,2020-03-06,0,0.0
249,Austria,2020-03-07,0,0.0
250,Austria,2020-03-08,0,0.0
251,Austria,2020-03-09,2,2.0
252,Austria,2020-03-10,4,2.0
253,Austria,2020-03-11,4,0.0
254,Austria,2020-03-12,4,0.0
255,Austria,2020-03-13,6,2.0
256,Austria,2020-03-14,6,0.0
257,Austria,2020-03-15,6,0.0
258,Austria,2020-03-16,6,0.0
259,Austria,2020-03-17,1,-5.0
260,Austria,2020-03-18,9,8.0
261,Austria,2020-03-19,9,0.0
262,Austria,2020-03-20,9,0.0
263,Austria,2020-03-21,9,0.0
264,Austria,2020-03-22,9,0.0
265,Austria,2020-03-23,9,0.0
266,Austria,2020-03-24,9,0.0
267,Austria,2020-03-25,9,0.0
268,Austria,2020-03-26,112,103.0
269,Austria,2020-03-27,225,113.0
270,Azerbaijan,2020-03-01,0,0.0
271,Azerbaijan,2020-03-02,0,0.0
272,Azerbaijan,2020-03-03,0,0.0
273,Azerbaijan,2020-03-04,0,0.0
274,Azerbaijan,2020-03-05,0,0.0
275,Azerbaijan,2020-03-06,0,0.0
276,Azerbaijan,2020-03-07,0,0.0
277,Azerbaijan,2020-03-08,0,0.0
278,Azerbaijan,2020-03-09,0,0.0
279,Azerbaijan,2020-03-10,0,0.0
280,Azerbaijan,2020-03-11,3,3.0
281,Azerbaijan,2020-03-12,3,0.0
282,Azerbaijan,2020-03-13,3,0.0
283,Azerbaijan,2020-03-14,3,0.0
284,Azerbaijan,2020-03-15,6,3.0
285,Azerbaijan,2020-03-16,6,0.0
286,Azerbaijan,2020-03-17,6,0.0
287,Azerbaijan,2020-03-18,6,0.0
288,Azerbaijan,2020-03-19,6,0.0
289,Azerbaijan,2020-03-20,6,0.0
290,Azerbaijan,2020-03-21,11,5.0
291,Azerbaijan,2020-03-22,10,-1.0
292,Azerbaijan,2020-03-23,10,0.0
293,Azerbaijan,2020-03-24,10,0.0
294,Azerbaijan,2020-03-25,10,0.0
295,Azerbaijan,2020-03-26,15,5.0
296,Azerbaijan,2020-03-27,15,0.0
297,Bahamas,2020-03-01,0,0.0
298,Bahamas,2020-03-02,0,0.0
299,Bahamas,2020-03-03,0,0.0
300,Bahamas,2020-03-04,0,0.0
301,Bahamas,2020-03-05,0,0.0
302,Bahamas,2020-03-06,0,0.0
303,Bahamas,2020-03-07,0,0.0
304,Bahamas,2020-03-08,0,0.0
305,Bahamas,2020-03-09,0,0.0
306,Bahamas,2020-03-10,0,0.0
307,Bahamas,2020-03-11,0,0.0
308,Bahamas,2020-03-12,0,0.0
309,Bahamas,2020-03-13,0,0.0
310,Bahamas,2020-03-14,0,0.0
311,Bahamas,2020-03-15,0,0.0
312,Bahamas,2020-03-16,0,0.0
313,Bahamas,2020-03-17,0,0.0
314,Bahamas,2020-03-18,0,0.0
315,Bahamas,2020-03-19,0,0.0
316,Bahamas,2020-03-20,0,0.0
317,Bahamas,2020-03-21,0,0.0
318,Bahamas,2020-03-22,0,0.0
319,Bahamas,2020-03-23,0,0.0
320,Bahamas,2020-03-24,1,1.0
321,Bahamas,2020-03-25,1,0.0
322,Bahamas,2020-03-26,1,0.0
323,Bahamas,2020-03-27,1,0.0
324,Bahrain,2020-03-01,0,0.0
325,Bahrain,2020-03-02,0,0.0
326,Bahrain,2020-03-03,0,0.0
327,Bahrain,2020-03-04,0,0.0
328,Bahrain,2020-03-05,0,0.0
329,Bahrain,2020-03-06,4,4.0
330,Bahrain,2020-03-07,4,0.0
331,Bahrain,2020-03-08,4,0.0
332,Bahrain,2020-03-09,14,10.0
333,Bahrain,2020-03-10,22,8.0
334,Bahrain,2020-03-11,35,13.0
335,Bahrain,2020-03-12,35,0.0
336,Bahrain,2020-03-13,44,9.0
337,Bahrain,2020-03-14,44,0.0
338,Bahrain,2020-03-15,60,16.0
339,Bahrain,2020-03-16,77,17.0
340,Bahrain,2020-03-17,81,4.0
341,Bahrain,2020-03-18,88,7.0
342,Bahrain,2020-03-19,100,12.0
343,Bahrain,2020-03-20,100,0.0
344,Bahrain,2020-03-21,125,25.0
345,Bahrain,2020-03-22,149,24.0
346,Bahrain,2020-03-23,149,0.0
347,Bahrain,2020-03-24,177,28.0
348,Bahrain,2020-03-25,177,0.0
349,Bahrain,2020-03-26,204,27.0
350,Bahrain,2020-03-27,227,23.0
351,Bangladesh,2020-03-01,0,0.0
352,Bangladesh,2020-03-02,0,0.0
353,Bangladesh,2020-03-03,0,0.0
354,Bangladesh,2020-03-04,0,0.0
355,Bangladesh,2020-03-05,0,0.0
356,Bangladesh,2020-03-06,0,0.0
357,Bangladesh,2020-03-07,0,0.0
358,Bangladesh,2020-03-08,0,0.0
359,Bangladesh,2020-03-09,0,0.0
360,Bangladesh,2020-03-10,0,0.0
361,Bangladesh,2020-03-11,0,0.0
362,Bangladesh,2020-03-12,0,0.0
363,Bangladesh,2020-03-13,0,0.0
364,Bangladesh,2020-03-14,0,0.0
365,Bangladesh,2020-03-15,0,0.0
366,Bangladesh,2020-03-16,2,2.0
367,Bangladesh,2020-03-17,3,1.0
368,Bangladesh,2020-03-18,3,0.0
369,Bangladesh,2020-03-19,3,0.0
370,Bangladesh,2020-03-20,3,0.0
371,Bangladesh,2020-03-21,3,0.0
372,Bangladesh,2020-03-22,3,0.0
373,Bangladesh,2020-03-23,3,0.0
374,Bangladesh,2020-03-24,5,2.0
375,Bangladesh,2020-03-25,7,2.0
376,Bangladesh,2020-03-26,11,4.0
377,Bangladesh,2020-03-27,11,0.0
378,Barbados,2020-03-01,0,0.0
379,Barbados,2020-03-02,0,0.0
380,Barbados,2020-03-03,0,0.0
381,Barbados,2020-03-04,0,0.0
382,Barbados,2020-03-05,0,0.0
383,Barbados,2020-03-06,0,0.0
384,Barbados,2020-03-07,0,0.0
385,Barbados,2020-03-08,0,0.0
386,Barbados,2020-03-09,0,0.0
387,Barbados,2020-03-10,0,0.0
388,Barbados,2020-03-11,0,0.0
389,Barbados,2020-03-12,0,0.0
390,Barbados,2020-03-13,0,0.0
391,Barbados,2020-03-14,0,0.0
392,Barbados,2020-03-15,0,0.0
393,Barbados,2020-03-16,0,0.0
394,Barbados,2020-03-17,0,0.0
395,Barbados,2020-03-18,0,0.0
396,Barbados,2020-03-19,0,0.0
397,Barbados,2020-03-20,0,0.0
398,Barbados,2020-03-21,0,0.0
399,Barbados,2020-03-22,0,0.0
400,Barbados,2020-03-23,0,0.0
401,Barbados,2020-03-24,0,0.0
402,Barbados,2020-03-25,0,0.0
403,Barbados,2020-03-26,0,0.0
404,Barbados,2020-03-27,0,0.0
405,Belarus,2020-03-01,0,0.0
406,Belarus,2020-03-02,0,0.0
407,Belarus,2020-03-03,0,0.0
408,Belarus,2020-03-04,0,0.0
409,Belarus,2020-03-05,0,0.0
